month,week,day,hour,DotW,WR
1,1,4,20,3,56
1,1,4,21,3,54
1,1,4,22,3,44
1,1,4,23,3,15
1,1,4,0,6,0
1,1,4,1,6,0
1,1,4,2,6,0
1,1,4,3,6,0
1,1,4,4,6,0
1,1,4,5,6,0
1,1,4,6,6,0
1,1,4,7,6,0
1,1,4,8,6,2
1,1,4,9,6,15
1,1,4,10,6,28
1,1,4,11,6,30
1,1,4,12,6,27
1,1,4,13,6,43
1,1,4,14,6,53
1,1,4,15,6,58
1,1,4,16,6,48
1,1,4,17,6,62
1,1,4,18,6,36
1,1,4,19,6,42
1,1,4,20,6,0
1,1,4,21,6,0
1,1,4,22,6,0
1,1,4,23,6,0
1,1,5,0,2,0
1,1,5,1,2,0
1,1,5,2,2,0
1,1,5,3,2,0
1,1,5,4,2,0
1,1,5,5,2,0
1,1,5,6,2,22
1,1,5,7,2,51
1,1,5,8,2,48
1,1,5,10,2,79
1,1,5,11,2,97
1,1,5,12,2,106
1,1,5,13,2,94
1,1,5,14,2,106
1,1,5,15,2,140
1,1,5,16,2,142
1,1,5,17,2,146
1,1,5,18,2,145
1,1,5,19,2,120
1,1,5,20,2,112
1,1,5,21,2,98
1,1,5,22,2,90
1,1,5,23,2,39
1,1,5,0,4,0
1,1,5,1,4,0
1,1,5,2,4,0
1,1,5,3,4,0
1,1,5,4,4,0
1,1,5,5,4,0
1,1,5,6,4,9
1,1,5,7,4,32
1,1,5,8,4,28
1,1,5,9,4,33
1,1,5,10,4,41
1,1,5,11,4,56
1,1,5,12,4,68
1,1,5,13,4,76
1,1,5,14,4,69
1,1,5,15,4,76
1,1,5,16,4,88
1,1,5,17,4,85
1,1,5,18,4,92
1,1,5,19,4,62
1,1,5,20,4,56
1,1,5,21,4,46
1,1,5,22,4,39
1,1,5,23,4,0
1,1,5,0,5,0
1,1,5,1,5,0
1,1,5,2,5,0
1,1,5,3,5,0
1,1,5,4,5,0
1,1,5,5,5,0
1,1,5,6,5,7
1,1,5,7,5,12
1,1,5,8,5,14
1,1,5,9,5,21
1,1,5,10,5,38
1,1,5,11,5,49
1,1,5,12,5,56
1,1,5,13,5,64
1,1,5,14,5,82
